Name,Release Date,Year,Copies Sold,Price,Type,Steam Revenue,Steam Review Score,Publisher Class,Genre(s),,,,,,,,,FTP Genres,,Paid Genres,,,,,
Apex Legends™,11/3/2020,2020,65128124,$0,Free To Play,"$1,367,923,745",67,AAA,Shooter,Battle Royale,,,,,,,,Shooter,,Horror,,,,,
Call of Duty®,10/26/2022,2022,37573497,$0,Free To Play,"$456,763,597",59,AAA,Shooter,Battle Royale,,,,,,,,Shooter,,Action,,,,,
Lost Ark,6/10/2021,2021,15228374,$0,Free To Play,"$391,660,276",71,AAA,Action,RPG,Adventure,,,,,,,Action,,,,,,,
NARAKA: BLADEPOINT,8/10/2021,2021,15843247,$0,Free To Play,"$316,835,857",75,AA,Battle Royale,Shooter,Platformer,Action,Adventure,,,,,Battle Royale,,Survival,,,,,
Yu-Gi-Oh! Master Duel,1/17/2022,2022,6284102,$0,Free To Play,"$175,043,907",75,AA,Strategy,Simulation,,,,,,,,Strategy,,Action,,,,,
The First Descendant,6/29/2024,2024,3954075,$0,Free To Play,"$114,392,448",57,AA,Shooter,RPG,Platformer,Adventure,,,,,,Shooter,,Strategy,,,,,
The Sims™ 4,3/17/2020,2020,25365494,$0,Free To Play,"$109,706,154",87,AAA,Simulation,Adventure,Strategy,,,,,,,Simulation,,RPG,,,,,
THRONE AND LIBERTY,9/30/2024,2024,3540901,$0,Free To Play,"$101,051,670",69,AAA,RPG,Action,Adventure,,,,,,,RPG,,RPG,,,,,
STAR WARS™: The Old Republic™,7/20/2020,2020,3783862,$0,Free To Play,"$93,934,379",90,AAA,RPG,Adventure,,,,,,,,RPG,,Adventure,,,,,
Marvel Rivals,12/4/2024,2024,16265708,$0,Free To Play,"$66,053,246",81,AA,Shooter,Action,,,,,,,,Shooter,,Shooter,,,,,
Once Human,7/8/2024,2024,6675885,$0,Free To Play,"$61,643,693",73,AA,Survival,Shooter,Simulation,Adventure,Strategy,,,,,Survival,,Simulation,,,,,
Eternal Return,10/13/2020,2020,4387709,$0,Free To Play,"$60,849,981",80,AA,Battle Royale,Strategy,,,,,,,,Battle Royale,,Adventure,,,,,
Phantasy Star Online 2 New Genesis,8/4/2020,2020,1918846,$0,Free To Play,"$57,774,175",70,AAA,Action,Adventure,RPG,Shooter,,,,,,Action,,Strategy,,,,,
Halo Infinite,11/14/2021,2021,9396343,$0,Free To Play,"$51,391,777",70,AAA,Shooter,Adventure,,,,,,,,Shooter,,Action,,,,,
RuneScape ®,10/13/2020,2020,2153380,$0,Free To Play,"$45,833,685",84,AA,RPG,,,,,,,,,RPG,,Adventure,,,,,
THE FINALS,12/6/2023,2023,9485219,$0,Free To Play,"$45,628,941",77,Indie,Shooter,Action,Platformer,,,,,,,Shooter,,Adventure,,,,,
World of Tanks,4/27/2021,2021,2778796,$0,Free To Play,"$40,936,768",84,AA,Shooter,Simulation,Strategy,,,,,,,Shooter,,Action,,,,,
Overwatch® 2,8/9/2023,2023,11523347,$0,Free To Play,"$40,117,462",22,AA,Shooter,Action,,,,,,,,Shooter,,Adventure,,,,,
Lethal Company,11/22/2023,2023,13365248,$10,Paid,"$114,993,458",97,AA,Survival,Horror,Adventure,,,,,,,Battle Royale,,Shooter,,,,,
HITMAN World of Assassination,1/19/2022,2022,2001128,$10,Paid,"$44,876,505",87,Indie,Shooter,Action,Adventure,,,,,,,Battle Royale,,,,,,,
BattleBit Remastered,6/14/2023,2023,3252530,$15,Paid,"$42,831,487",87,Indie,Shooter,,,,,,,,,RPG,,Adventure,,,,,
Phasmophobia,9/17/2020,2020,14566313,$20,Paid,"$162,924,573",96,AA,Horror,Survival,Puzzle,Adventure,,,,,,Shooter,,Action,,,,,
Valheim,2/1/2021,2021,11185225,$20,Paid,"$148,006,492",94,AA,Survival,Action,Adventure,RPG,,,,,,Simulation,,Strategy,,,,,
DAVE THE DIVER,10/25/2022,2022,4112286,$20,Paid,"$60,141,749",97,AA,Simulation,Strategy,Shooter,Action,Adventure,RPG,,,,RPG,,Platformer,,,,,
