Name,Release Date,Year,Copies Sold,Price,Type,Revenue,Average Playtime,Review Score,Publisher Class,Genre,Review Score 2
Apex Legends™,11/3/2020,2020,65128124,$0,Free To Play,"$1,367,923,745",266,67,AAA,Shooter,
The First Descendant,6/29/2024,2024,3954075,$0,Free To Play,"$114,392,448",96,57,AA,"Shooter, RPG",
Call of Duty®,10/26/2022,2022,37573497,$0,Free To Play,"$456,763,597",114,59,AAA,Shooter,
THRONE AND LIBERTY,9/30/2024,2024,3540901,$0,Free To Play,"$101,051,670",0,69,AAA,,
Halo Infinite,11/14/2021,2021,9396343,$0,Free To Play,"$51,391,777",58,70,AAA,,
Phantasy Star Online 2 New Genesis,8/4/2020,2020,1918846,$0,Free To Play,"$57,774,175",245,70,AAA,,
Lost Ark,6/10/2021,2021,15228374,$0,Free To Play,"$391,660,276",334,71,AAA,Action RPG,
Once Human,7/8/2024,2024,6675885,$0,Free To Play,"$61,643,693",136,73,AA,,
Yu-Gi-Oh! Master Duel,1/17/2022,2022,6284102,$0,Free To Play,"$175,043,907",107,75,AA,Strategy,
NARAKA: BLADEPOINT,8/10/2021,2021,15843247,$0,Free To Play,"$316,835,857",251,75,AA,Battle Royale,
THE FINALS,12/6/2023,2023,9485219,$0,Free To Play,"$45,628,941",78,77,Indie,,
Eternal Return,10/13/2020,2020,4387709,$0,Free To Play,"$60,849,981",228,80,AA,,
World of Tanks,4/27/2021,2021,2778796,$0,Free To Play,"$40,936,768",140,84,AA,,
RuneScape ®,10/13/2020,2020,2153380,$0,Free To Play,"$45,833,685",201,84,AA,,
The Sims™ 4,3/17/2020,2020,25365494,$0,Free To Play,"$109,706,154",105,87,AAA,Simulation,
STAR WARS™: The Old Republic™,7/20/2020,2020,3783862,$0,Free To Play,"$93,934,379",161,90,AAA,,
HITMAN World of Assassination,1/19/2022,2022,2001128,$10,Paid,"$44,876,505",43,,Indie,,87
Lethal Company,11/22/2023,2023,13365248,$10,Paid,"$114,993,458",45,,AA,"Survival, Horror",97
BattleBit Remastered,6/14/2023,2023,3252530,$15,Paid,"$42,831,487",35,,Indie,,87
鬼谷八荒 Tale of Immortal,1/26/2021,2021,3765322,$20,Paid,"$46,864,226",100,,Indie,,53
Gunfire Reborn,5/4/2020,2020,3442203,$20,Paid,"$39,503,768",53,,Indie,,94
Valheim,2/1/2021,2021,11185225,$20,Paid,"$148,006,492",0,,AA,Survival,94
Phasmophobia,9/17/2020,2020,14566313,$20,Paid,"$162,924,573",45,,AA,Horror,96
DAVE THE DIVER,10/25/2022,2022,4112286,$20,Paid,"$60,141,749",24,,AA,,97
Cult of the Lamb,8/10/2022,2022,3357774,$25,Paid,"$53,127,790",28,,AA,,96
Path of Exile 2,12/5/2024,2024,4666936,$30,Paid,"$125,965,269",0,,AA,Action RPG,81
Enshrouded,1/23/2024,2024,2811866,$30,Paid,"$68,916,267",60,,AA,,87
Sons Of The Forest,2/22/2023,2023,9509562,$30,Paid,"$227,397,007",43,,AA,Survival,87
Farming Simulator 22,11/20/2021,2021,2591312,$30,Paid,"$76,060,266",203,,AA,,92
Palworld,1/17/2024,2024,18718399,$30,Paid,"$439,073,030",0,,AA,Survival,94
Hades II,5/5/2024,2024,1696760,$30,Paid,"$43,643,021",34,,AA,,95
Teardown,11/28/2020,2020,2693342,$30,Paid,"$49,412,465",50,,Indie,,96
Ori and the Will of the Wisps,3/9/2020,2020,3669362,$30,Paid,"$51,330,410",24,,AAA,,97
Stray,7/18/2022,2022,2519282,$30,Paid,"$51,343,270",8,,AA,,97
V Rising,5/16/2022,2022,4571060,$35,Paid,"$82,559,440",74,,AA,,89
"Warhammer 40,000: Darktide",11/29/2022,2022,2567928,$40,Paid,"$79,452,869",213,,AA,,70
Fallout 76,4/13/2020,2020,2348829,$40,Paid,"$45,969,901",94,,AAA,,73
HELLDIVERS™ 2,2/7/2024,2024,12184262,$40,Paid,"$435,615,896",89,,AAA,Shooter,75
MONSTER HUNTER RISE,1/11/2022,2022,3974804,$40,Paid,"$75,445,768",113,,AAA,,82
